number,ref,XGB,CNN,RF,SVM,GWC
43,0.855483451,0.855755508,0.835888147,0.862476568,0.939699087,6.291248463
44,0.88705342,0.825662436,0.938633502,0.89945735,0.872261953,6.691171654
45,0.93442812,0.9343009,0.934750259,0.924172556,0.932613122,6.035239154
46,0.905922229,0.926319599,0.966241479,0.923020024,0.964653343,6.63327177
47,0.917116732,0.965648222,0.819056511,0.919814153,0.962307536,6.889002505
48,0.967850942,0.968478739,0.964669168,0.959837925,0.992384412,7.24064081
49,0.975855709,0.974148989,0.95501709,0.970141225,0.969647479,7.303929517
50,1.007374157,1.041125655,1.028487444,1.017043772,1.031766833,11.86523775
51,1.0233722,1.024006605,0.999419153,1.017043563,1.009927317,10.62824314
52,1.091069852,1.094282866,1.10116446,1.10630357,1.179743366,48.94291065
53,1.11052047,1.10941565,1.127351761,1.099520913,1.130076781,27.15858404
54,1.146958288,1.1025002,1.130363822,1.12451732,1.139618898,30.66921622
55,0.892954814,0.934334517,0.919169962,0.913345773,0.941872882,2.974702828
56,0.97456901,0.973252833,0.946922719,0.954616747,0.96851136,4.323942289
57,1.01486703,1.015629888,1.011333704,1.004082129,1.003646679,7.038057195
58,1.072205312,1.073052049,1.045856953,1.063986931,1.061417092,13.16354728
59,1.148214296,1.149052143,1.133056283,1.13560012,1.149704706,26.66086662
60,1.210815117,1.133497357,1.186598539,1.17192832,1.175168008,37.67798163
61,1.20302015,1.178152442,1.19020772,1.178706771,1.209187927,41.75255414
62,1.15221536,1.15045166,1.140656233,1.134928239,1.117801596,36.06693216
63,1.084171633,1.085119128,1.076740146,1.094743515,1.081025383,19.91110088
64,0.746709327,0.751235306,0.770956099,0.805850029,0.770846207,6.241433122
65,0.98184099,0.979225755,0.955422759,0.962833312,0.935559062,4.497485996
66,1.01270423,1.011938095,0.993494391,0.993873778,0.966304086,6.848436919
67,1.044696652,1.044719577,1.011554718,1.036895626,0.988823775,11.69479566
68,1.054174156,1.054607511,1.04702878,1.056933041,1.026652719,14.12169107
69,1.072960078,1.132458735,1.051232219,1.082054959,1.040779481,19.53725829
70,1.056188024,1.055271268,1.048346281,1.048719339,1.044114226,16.88720071
71,1.074484644,1.096550722,1.056728363,1.056462165,1.155959175,24.28821604
72,1.088502477,1.060893,1.080179,1.106991,1.074805,15.26618045
73,1.103000688,1.100154,1.104195,1.10843,1.103275,23.12782969
